,id,brand,name,city,gu,address,gasoline,diesel,self,car_wash,charging_station,car_maintenance,convenience_store,24_hour,lat,lng
0,1,SK에너지,(주)보성 세곡주유소,서울,강남구,서울 강남구  헌릉로 731 (세곡동),1632,1553,0,1,0,0,0,0,37.46715650000000,127.11870810000000
1,2,현대오일뱅크,HD현대오일뱅크㈜직영 산성셀프주유소,서울,강남구,서울 강남구 헌릉로 730,1639,1569,0,1,0,0,0,0,37.46656750000000,127.11908030000000
2,3,GS칼텍스,방죽주유소,서울,강남구,서울 강남구 밤고개로 215 (율현동),1667,1599,0,1,0,0,0,0,37.47499260000000,127.10688660000000
3,4,SK에너지,자곡셀프주유소,서울,강남구,서울 강남구 밤고개로 120 (자곡동),1685,1599,0,1,0,0,0,0,37.48340020000000,127.10404580000000
4,5,SK에너지,(주)중앙에너비스 수서지점,서울,강남구,서울 강남구 광평로 202 (수서동),1687,1627,0,1,0,0,0,0,37.48410530000000,127.09504010000000
5,6,현대오일뱅크,삼성동주유소,서울,강남구,서울 강남구 테헤란로 619 (삼성동),1689,1625,0,1,0,0,0,0,37.50985760000000,127.06511010000000
6,7,현대오일뱅크,HD현대오일뱅크㈜직영 도곡셀프주유소,서울,강남구,서울 강남구  남부순환로 2718 (도곡2동),1689,1614,0,1,0,1,0,0,37.48546230000000,127.04321810000000
7,8,현대오일뱅크,HD현대오일뱅크㈜직영 유진주유소,서울,강남구,서울 강남구 논현로 152 (도곡동),1699,1629,1,1,0,1,0,0,37.48743160000000,127.03999760000000
8,9,SK에너지,오일프러스 셀프,서울,강남구,서울 강남구 남부순환로 2651 (도곡동),1699,1624,0,1,0,1,0,1,37.48583900000000,127.03967210000000
9,10,S-OIL,극동유화㈜ 개나리주유소,서울,강남구,서울 강남구 언주로 423 (역삼동),1705,1625,0,1,0,1,0,1,37.50007760000000,127.03854190000000
10,11,SK에너지,SK서광주유소,서울,강남구,서울 강남구 역삼로 142,1705,1625,0,1,0,1,0,1,37.49434240000000,127.03509150000000
11,12,GS칼텍스,지에스칼텍스㈜에너지플러스허브GS타워,서울,강남구,서울 강남구 논현로 516 (역삼동),1749,1734,0,0,0,1,0,1,37.50270829999999,127.03639560000000
12,13,S-OIL,(주)선진도곡주유소,서울,강남구,서울 강남구 도곡로 162 (도곡동),1755,1665,1,1,0,1,0,0,37.48782540000000,127.04668760000000
13,14,SK에너지,SK에너지㈜ 진달래주유소,서울,강남구,서울 강남구 도곡로 208,1755,1665,1,1,0,0,0,0,37.49229500000000,127.04185980000000
14,15,SK에너지,대동석유 압구정주유소,서울,강남구,서울 강남구 언주로 842 (신사동),1777,1737,0,1,0,0,0,1,37.52534310000000,127.03382420000000
15,16,SK에너지,대교셀프주유소,서울,강남구,서울 강남구 강남대로 640 (신사동),1785,1775,0,0,0,0,0,1,37.52812920000000,127.03555370000000
16,17,SK에너지,(유)동하석유 힐탑셀프주유소,서울,강남구,서울 강남구 논현로 640,1797,1757,0,1,0,0,0,1,37.51068870000000,127.03256890000000
17,18,GS칼텍스,지에스칼텍스㈜ 삼성로주유소,서울,강남구,서울 강남구 삼성로 563 (삼성동),1909,1894,0,1,0,0,0,1,37.51397499999999,127.05612740000000
18,19,GS칼텍스,대양산업(주) 개포주유소,서울,강남구,서울 강남구 양재대로 339,1918,1858,0,1,0,0,0,0,37.47224090000000,127.05151340000000
19,20,GS칼텍스,지에스칼텍스㈜ 은마주유소,서울,강남구,서울 강남구 영동대로 235,1929,1909,1,1,0,1,0,1,37.50007210000000,127.06728480000000
20,21,현대오일뱅크,HD현대오일뱅크㈜직영 신사현대주유소,서울,강남구,서울 강남구 도산대로 163 (신사동),1948,1894,1,1,0,0,0,0,37.51952050000000,127.02631710000000
21,22,GS칼텍스,대성석유(주)동호주유소,서울,강남구,서울 강남구 봉은사로113길 51,1999,1892,1,1,0,0,0,0,37.51848600000000,127.06466550000000
22,23,GS칼텍스,지에스칼텍스(주)학여울주유소,서울,강남구,서울 강남구 남부순환로 3170 (일원2동),2055,1995,1,1,0,0,0,0,37.49467620000000,127.07783050000000
23,24,현대오일뱅크,HD현대오일뱅크㈜직영 한양주유소,서울,강남구,서울 강남구 압구정로 302 (신사동),2083,2026,1,1,0,0,0,0,37.52886810000000,127.03410460000000
24,25,GS칼텍스,(주)소모 쎈트럴주유소,서울,강남구,서울 강남구 삼성로 335,2177,2117,1,1,0,0,0,0,37.50142090000000,127.05914080000000
25,26,S-OIL,명품주유소,서울,강남구,서울 강남구 도곡로 249 (역삼동),2178,2087,0,1,0,0,0,1,37.49427040000000,127.04550930000000
26,27,SK에너지,대청주유소,서울,강남구,서울 강남구 개포로 654 (일원동),2236,2126,1,1,0,0,0,0,37.49247370000001,127.08567900000000
27,28,현대오일뱅크,㈜새서울석유 새서울주유소,서울,강남구,서울 강남구 압구정로 154,2288,2158,1,1,0,0,0,1,37.52583500000000,127.02654220000000
28,29,SK에너지,SK논현주유소,서울,강남구,서울 강남구 논현로 747 (논현동),2395,2295,1,1,0,1,0,1,37.51863680000000,127.02823800000000
29,30,현대오일뱅크,(주)제이제이네트웍스 제이제이주유소,서울,강남구,서울 강남구 언주로 716,2490,2380,1,1,0,0,0,1,37.51764720000000,127.03573490000000
30,31,GS칼텍스,(주)만정에너지 삼보주유소,서울,강남구,서울 강남구 봉은사로 433 (삼성동),2598,2560,1,1,0,0,0,0,37.51152070000000,127.04717160000000
31,32,현대오일뱅크,재건에너지 재정제2주유소 고속셀프지점,서울,강동구,서울특별시 강동구  천호대로 1246 (둔촌제2동),1619,1569,0,1,0,0,0,0,37.53651330000000,127.14935880000000
32,33,SK에너지,방아다리주유소,서울,강동구,서울 강동구 동남로 811 (명일동),1665,1575,0,1,0,0,0,0,37.54904450000000,127.15082290000000
33,34,GS칼텍스,대성석유(주)길동주유소,서울,강동구,서울 강동구 천호대로 1168,1696,1628,1,1,0,0,0,0,37.53342290000000,127.14117250000000
34,35,GS칼텍스,(주)소모 신월주유소,서울,강동구,서울 강동구 양재대로 1323 (성내동),1716,1638,0,1,0,0,0,0,37.53049330000000,127.12899200000000
35,36,SK에너지,sk해뜨는주유소,서울,강동구,서울 강동구  상일로 132 (강일동),1739,1649,0,1,0,1,0,0,37.55450850000000,127.17241540000000
36,37,GS칼텍스,(주)삼표에너지 고덕주유소,서울,강동구,서울 강동구 고덕로 39 (암사동),1749,1669,0,1,0,0,1,0,37.55504900000000,127.12979290000000
37,38,S-OIL,(주)퍼스트오일 코알라주유소,서울,강동구,서울특별시 강동구  올림픽로 556 (성내동),1750,1650,0,1,0,0,0,0,37.52938080000000,127.12244080000000
38,39,GS칼텍스,지에스칼텍스㈜ 동서울주유소,서울,강동구,서울 강동구 천호대로 1456 (상일동),1756,1699,0,1,0,0,0,0,37.55110280000000,127.16964010000000
39,40,GS칼텍스,(주)소모 성내주유소,서울,강동구,서울 강동구 올림픽로 578 (성내동),1768,1668,0,1,0,1,0,0,37.53137820000000,127.12732860000000
40,41,SK에너지,주)지유에너지직영 오렌지주유소,서울,강동구,서울 강동구 성안로 102 (성내동),1785,1685,1,1,0,1,0,0,37.53231400000000,127.13317810000000
41,42,현대오일뱅크,천호현대주유소,서울,강동구,서울 강동구 천중로 67 (천호동),1899,1799,1,1,0,1,0,0,37.54513310000000,127.12947300000000
42,43,S-OIL,광성주유소,서울,강동구,서울 강동구 올림픽로 673 (천호동),2028,1948,1,1,0,1,0,1,37.54161170000000,127.12417310000000
